municipality,P_installed (kWp),P_installed (MW)
5812,564.724093784691,564.724093784691
5813,1811.6662381770673,1811.6662381770673
5816,6174.566417513749,6174.566417513749
5817,3284.618878385292,3284.618878385292
5819,805.8652017930143,805.8652017930143
582,2001.15107330997,2001.15107330997
5821,1307.7607573005444,1307.7607573005444
5822,14762.132338605152,14762.132338605152
5827,730.552815558261,730.552815558261
5828,537.6222220422945,537.6222220422945
5830,1470.067916162199,1470.067916162199
5831,8327.018647008841,8327.018647008841
584,15293.723629847844,15293.723629847844
5841,16206.168472272311,16206.168472272311
5842,1750.907306781372,1750.907306781372
5843,6623.873996713693,6623.873996713693
585,3251.899311019486,3251.899311019486
5851,964.3256744978336,964.3256744978336
5852,739.5414419598246,739.5414419598246
5853,1675.136760385967,1675.136760385967
5854,922.6408658396743,922.6408658396743
5855,1144.6485697538426,1144.6485697538426
5856,1477.0187793004143,1477.0187793004143
5857,2576.303569647259,2576.303569647259
5858,1138.2882358915788,1138.2882358915788
5859,3920.3066719538638,3920.3066719538638
586,1178.6713913307622,1178.6713913307622
5860,2674.7422115916306,2674.7422115916306
5861,6055.885327480356,6055.885327480356
5862,349.8459001477423,349.8459001477423
5863,588.3853726272083,588.3853726272083
587,7411.608686176933,7411.608686176933
5871,4680.919988019677,4680.919988019677
5872,11732.017133756995,11732.017133756995
5873,3109.631878630351,3109.631878630351
588,1340.611566772027,1340.611566772027
5882,6204.0314128425025,6204.0314128425025
5883,4005.4964303617944,4005.4964303617944
5884,4484.960707925667,4484.960707925667
5885,2791.843616922613,2791.843616922613
5886,24623.968049229476,24623.968049229476
5889,10408.229928053794,10408.229928053794
589,1917.2722851623002,1917.2722851623002
5890,10783.773211322105,10783.773211322105
5891,1183.2772552754755,1183.2772552754755
5892,20082.587059109137,20082.587059109137
59,2877.2515980839585,2877.2515980839585
590,7696.833143638253,7696.833143638253
5902,1106.918886398413,1106.918886398413
5903,745.1313605002983,745.1313605002983
5904,1179.1576385629126,1179.1576385629126
5905,1727.1236847202356,1727.1236847202356
5907,1162.049835733755,1162.049835733755
5908,575.107371845357,575.107371845357
5909,1718.9532363852936,1718.9532363852936
591,477.31931037738104,477.31931037738104
5910,1279.8146097456693,1279.8146097456693
5911,638.576887719972,638.576887719972
5912,552.4168853403728,552.4168853403728
5913,2690.8180790172173,2690.8180790172173
5914,827.2809868358462,827.2809868358462
5919,1425.9946848928241,1425.9946848928241
592,2281.279560717691,2281.279560717691
5921,759.9267471950023,759.9267471950023
5922,1856.8466287350752,1856.8466287350752
5923,560.6856586784232,560.6856586784232
5924,840.2716811149672,840.2716811149672
5925,828.2097643765931,828.2097643765931
5926,2004.5152054131888,2004.5152054131888
5928,850.7532923274274,850.7532923274274
5929,1373.3891431720695,1373.3891431720695
593,10925.836648224436,10925.836648224436
5930,505.98536597430234,505.98536597430234
5931,979.9952396186264,979.9952396186264
5932,902.530736534543,902.530736534543
5933,1442.645864917057,1442.645864917057
5934,690.0938304460093,690.0938304460093
5935,238.7737632335177,238.7737632335177
5937,540.465284251666,540.465284251666
5938,25058.61795458046,25058.61795458046
5939,6576.1827583766235,6576.1827583766235
594,7113.182247247414,7113.182247247414
6,3041.80691197922,3041.80691197922
60,4394.279902195971,4394.279902195971
6002,17335.002166321425,17335.002166321425
6004,1202.7261788522305,1202.7261788522305
6007,17120.013848010294,17120.013848010294
6008,5585.776432839432,5585.776432839432
6009,1445.1895451356904,1445.1895451356904
6010,3266.8984127677813,3266.8984127677813
6011,300.86928141372266,300.86928141372266
602,3279.490881830255,3279.490881830255
6021,5569.3040843125855,5569.3040843125855
6022,10139.851298011443,10139.851298011443
6023,15614.8965202199,15614.8965202199
6024,26111.410783786792,26111.410783786792
6025,11693.428689921773,11693.428689921773
603,4254.235914975242,4254.235914975242
6032,978.5032752760584,978.5032752760584
6033,3708.8853890037185,3708.8853890037185
6034,12172.976621285923,12172.976621285923
6035,2730.978884687168,2730.978884687168
6037,41060.40861668654,41060.40861668654
605,4981.062059444362,4981.062059444362
6052,3679.8526773257177,3679.8526773257177
6054,788.783022632132,788.783022632132
6056,3483.618179325484,3483.618179325484
6057,4138.909771745604,4138.909771745604
6058,1126.3310711863705,1126.3310711863705
606,1341.839129744297,1341.839129744297
6061,1479.2918588276243,1479.2918588276243
607,790.36719106431,790.36719106431
6076,4329.317888172818,4329.317888172818
6077,8612.609447864166,8612.609447864166
608,9103.72562233939,9103.72562233939
6082,12272.220788970237,12272.220788970237
6083,8371.639425048506,8371.639425048506
6084,6170.030459163556,6170.030459163556
6087,2875.129888393758,2875.129888393758
6089,7110.348447809383,7110.348447809383
609,936.616421550101,936.616421550101
6090,5498.571397617187,5498.571397617187
61,2621.5687479396147,2621.5687479396147
610,1495.5043654300332,1495.5043654300332
6101,2029.214190694325,2029.214190694325
6102,1466.5958645214564,1466.5958645214564
6104,612.0131475963922,612.0131475963922
6109,514.5011958433163,514.5011958433163
611,2107.043209511702,2107.043209511702
6110,10651.95622051517,10651.95622051517
6111,5639.761768538412,5639.761768538412
6112,764.0716298939043,764.0716298939043
6113,3666.9531509844287,3666.9531509844287
6116,1707.5034436625915,1707.5034436625915
6117,1864.6673501192965,1864.6673501192965
6118,5195.807283724655,5195.807283724655
6119,3458.27495140664,3458.27495140664
612,11248.106153315215,11248.106153315215
613,2302.271355923211,2302.271355923211
6131,1828.4926106845512,1828.4926106845512
6133,13613.876556482366,13613.876556482366
6134,2375.19800860585,2375.19800860585
6135,10239.291498321325,10239.291498321325
6136,21878.810577090488,21878.810577090488
6137,5527.759896703226,5527.759896703226
6139,9904.186077688062,9904.186077688062
614,5230.683683211074,5230.683683211074
6140,4980.981601550727,4980.981601550727
6141,10147.152877106948,10147.152877106948
6142,844.1655073172992,844.1655073172992
615,1513.5214573017522,1513.5214573017522
6151,7756.1162964813075,7756.1162964813075
6152,14460.517493653473,14460.517493653473
6153,19987.587263598834,19987.587263598834
6154,6577.657175684966,6577.657175684966
6155,1843.2278050427342,1843.2278050427342
6156,18831.038556935906,18831.038556935906
6157,9283.145216236091,9283.145216236091
6158,5937.3512754250505,5937.3512754250505
6159,7040.652847763322,7040.652847763322
616,20506.352793754304,20506.352793754304
617,1536.2107570898922,1536.2107570898922
6172,153.23037292677424,153.23037292677424
6173,2319.7142708842152,2319.7142708842152
6177,1992.0145734479588,1992.0145734479588
6181,4218.5196441214475,4218.5196441214475
619,9243.346688001619,9243.346688001619
6191,1859.5689660489168,1859.5689660489168
6192,1145.6268734681275,1145.6268734681275
6193,4596.704251682774,4596.704251682774
6194,1491.7681388686885,1491.7681388686885
6195,828.6060018377168,828.6060018377168
6197,958.5632066672647,958.5632066672647
6198,1873.8507072909786,1873.8507072909786
6199,4659.61515036405,4659.61515036405
62,19906.918326920117,19906.918326920117
620,2642.9241336245736,2642.9241336245736
6201,1936.500460458693,1936.500460458693
6202,2679.9266102063557,2679.9266102063557
6203,2446.581518693427,2446.581518693427
6204,3493.628142666244,3493.628142666244
6205,4031.8379830997646,4031.8379830997646
6211,1092.3904583825747,1092.3904583825747
6212,2500.572745615763,2500.572745615763
6213,2695.057978420791,2695.057978420791
6214,1715.0114827585483,1715.0114827585483
6215,3218.2907227540054,3218.2907227540054
6217,7439.6092507930725,7439.6092507930725
6218,4483.792404916353,4483.792404916353
6219,3444.4499430526475,3444.4499430526475
622,1962.874191591497,1962.874191591497
6220,1874.3341676281093,1874.3341676281093
623,5147.29974920598,5147.29974920598
6232,9970.426577146623,9970.426577146623
6235,2050.061795474297,2050.061795474297
6238,6140.549366694601,6140.549366694601
6239,2402.9676254661726,2402.9676254661726
6240,12925.228375745435,12925.228375745435
6246,3990.2774585857687,3990.2774585857687
6248,20626.360524848158,20626.360524848158
6252,15898.025586035621,15898.025586035621
6253,28064.521951515213,28064.521951515213
6254,8939.451333291161,8939.451333291161
626,5623.989854437774,5623.989854437774
6261,1797.729469683502,1797.729469683502
6263,6951.382728240674,6951.382728240674
6265,19270.309792012125,19270.309792012125
6266,38648.027931425626,38648.027931425626
6267,2130.8092568379407,2130.8092568379407
627,20783.396116337335,20783.396116337335
628,4222.119246145883,4222.119246145883
6281,2492.988203844508,2492.988203844508
6282,433.1596105765935,433.1596105765935
6283,775.68020522988,775.68020522988
6285,5080.596535887078,5080.596535887078
6286,1448.1836257297887,1448.1836257297887
6287,1300.8083809838447,1300.8083809838447
6288,1311.645955413932,1311.645955413932
6289,1328.3790179857265,1328.3790179857265
629,582.2570256581955,582.2570256581955
6290,5653.282035265244,5653.282035265244
6291,3742.4633930917994,3742.4633930917994
6292,7058.468995334788,7058.468995334788
6293,2669.580186427714,2669.580186427714
6294,1545.8207025126758,1545.8207025126758
6295,2186.0339013755265,2186.0339013755265
6296,1989.68156805583,1989.68156805583
6297,10159.007483163137,10159.007483163137
6298,3221.3932166939535,3221.3932166939535
6299,1238.7345348480603,1238.7345348480603
63,4079.1522240839236,4079.1522240839236
630,1479.604956832715,1479.604956832715
6300,12588.714438902885,12588.714438902885
632,8569.385409664956,8569.385409664956
64,10682.719166840292,10682.719166840292
6404,7384.52871856752,7384.52871856752
6408,6496.062657185155,6496.062657185155
6413,3298.303728236964,3298.303728236964
6416,13131.962106927283,13131.962106927283
6417,17640.54002324573,17640.54002324573
6421,40398.31735616936,40398.31735616936
6422,581.1247712125386,581.1247712125386
6423,3679.7866953312146,3679.7866953312146
6432,3244.8758424459047,3244.8758424459047
6433,753.3095317209471,753.3095317209471
6434,1120.476245325982,1120.476245325982
6435,1414.0810663562775,1414.0810663562775
6436,18544.932820136484,18544.932820136484
6437,3017.303738165839,3017.303738165839
6451,2826.6123841565377,2826.6123841565377
6452,3587.3776755320364,3587.3776755320364
6453,899.0281284240341,899.0281284240341
6454,2900.9308945251105,2900.9308945251105
6455,6639.421616692928,6639.421616692928
6456,2268.9101714483813,2268.9101714483813
6458,38744.04164292093,38744.04164292093
6459,4626.207621177168,4626.207621177168
6461,6312.863222130448,6312.863222130448
6487,37752.74766466529,37752.74766466529
65,3242.182561801843,3242.182561801843
6504,1914.4808085959346,1914.4808085959346
6511,2860.0967080415776,2860.0967080415776
6512,30614.116303898823,30614.116303898823
66,14251.740535804269,14251.740535804269
6601,1785.0861142502463,1785.0861142502463
6602,4506.5416048177,4506.5416048177
6603,1599.0880571077842,1599.0880571077842
6604,2629.224108298158,2629.224108298158
6605,2676.8967407219966,2676.8967407219966
6606,3450.7660571602446,3450.7660571602446
6607,11050.294462668398,11050.294462668398
6608,6992.536329588036,6992.536329588036
6609,2037.4679749170364,2037.4679749170364
6610,1409.7008082742148,1409.7008082742148
6611,1914.7362810165139,1914.7362810165139
6612,10007.996656113319,10007.996656113319
6613,4130.641697879384,4130.641697879384
6614,2200.807785495725,2200.807785495725
6615,2986.3263534947087,2986.3263534947087
6616,13106.006742448884,13106.006742448884
6617,7419.096458262424,7419.096458262424
6618,4658.838252052221,4658.838252052221
6619,3276.4067962216263,3276.4067962216263
662,3846.597620522475,3846.597620522475
6620,2195.65009365577,2195.65009365577
6621,40575.850095747184,40575.850095747184
6622,4725.804179123452,4725.804179123452
6623,5598.495514188818,5598.495514188818
6624,861.8068472400175,861.8068472400175
6625,1522.4994370994477,1522.4994370994477
6626,3224.802666472701,3224.802666472701
6627,1170.9220153952592,1170.9220153952592
6628,9664.347944806135,9664.347944806135
6629,2811.9446132470384,2811.9446132470384
663,3288.5675996623027,3288.5675996623027
6630,8802.872201867789,8802.872201867789
6631,5759.115984346905,5759.115984346905
6632,2531.706709535366,2531.706709535366
6633,10436.576795078256,10436.576795078256
6634,5289.134324666202,5289.134324666202
6635,1276.0192636172683,1276.0192636172683
6636,2382.454032081537,2382.454032081537
